month,side,trades,winrate,avg_ret,total
2025-01,BUY,10,50.0,0.78,39.15
2025-01,SELL,5,40.0,-1.24,-31.08
2025-02,BUY,24,45.83,-0.99,-119.16
2025-02,SELL,10,70.0,0.94,46.97
2025-03,BUY,20,55.0,0.26,26.49
2025-03,SELL,13,69.23,4.3,279.59
2025-04,BUY,11,45.45,0.4,22.15
2025-04,SELL,33,18.18,-2.5,-411.78
2025-05,BUY,6,66.67,1.09,32.59
2025-05,SELL,15,13.33,-2.5,-187.14
2025-06,BUY,20,80.0,2.91,291.13
2025-06,SELL,1,100.0,1.7,8.51
2025-07,BUY,15,53.33,-0.43,-32.04
2025-07,SELL,1,100.0,20.9,104.51
2025-08,BUY,13,69.23,1.24,80.51
2025-08,SELL,5,0.0,-3.95,-98.76
