signal_date,entry_date,exit_date,symbol,side,decision_price,entry_price,exit_price,return_pct,profit_usd,score,adx,z_dist,trend4h_slope,market_score,sector_score,rs_score,avg_dollar_vol_m,month
2025-01-21,2025-01-22,2025-01-28,BA,BUY,175.55999755859375,175.2899932861328,177.77999877929688,1.4205063543470664,7.102531771735332,0.3699,20.594501515282253,0.98,0.0028,0.8,0.8,0.5,1652.0,2025-01
2025-01-22,2025-01-23,2025-01-29,CPT,SELL,110.9800033569336,110.80000305175781,110.58000183105469,0.1985570529274771,0.9927852646373855,0.3471,20.98904159392872,-1.19,-0.0025,0.0,0.8,1.0,85.4,2025-01
2025-01-24,2025-01-27,2025-01-31,CMG,SELL,56.70000076293945,56.27000045776367,58.349998474121094,-3.696459924358222,-18.48229962179111,0.3097,21.696126895349853,-1.23,-0.0022,0.0,0.0,1.0,482.8,2025-01
2025-01-27,2025-01-28,2025-02-03,CNP,BUY,32.880001068115234,32.75,32.5099983215332,-0.7328295525703721,-3.6641477628518606,0.4311,21.438629892421197,1.13,0.0027,0.8,0.4,1.0,125.7,2025-01
2025-01-28,2025-01-29,2025-02-04,APO,BUY,169.30999755859375,169.4600067138672,162.58999633789062,-4.054060016400542,-20.27030008200271,0.4173,19.935465322537436,0.4,0.0044,0.8,0.8,0.5,557.9,2025-01
2025-01-29,2025-01-30,2025-02-05,APO,BUY,171.10000610351562,172.8000030517578,165.75,-4.0798628051216905,-20.39931402560845,0.4163,19.242025126819318,0.7,0.0046,0.8,0.8,0.5,556.9,2025-01
2025-01-29,2025-01-30,2025-02-05,AWK,SELL,124.25,125.13999938964844,123.61000061035156,1.222629684161111,6.113148420805555,0.3552,33.81382647970365,-0.24,-0.0021,0.0,0.6,0.5,135.3,2025-01
2025-01-29,2025-01-30,2025-02-05,CPT,SELL,110.58000183105469,112.13999938964844,116.2699966430664,-3.6828939503268856,-18.414469751634428,0.3162,17.398349664523103,-0.96,-0.0021,0.0,0.8,1.0,87.4,2025-01
2025-01-30,2025-01-31,2025-02-06,CEG,BUY,308.54998779296875,312.0,311.79998779296875,-0.06410647661258012,-0.3205323830629006,0.6269,29.345281545063212,0.93,0.0078,0.8,0.4,1.0,1743.5,2025-01
2025-01-30,2025-01-31,2025-02-06,BA,BUY,179.52999877929688,180.50999450683594,184.8000030517578,2.376604440459064,11.883022202295319,0.5214,23.367093978210676,0.99,0.0035,0.8,0.8,1.0,1551.1,2025-01
2025-01-30,2025-01-31,2025-02-06,AEE,BUY,94.11000061035156,94.0,96.75,2.925531914893617,14.627659574468085,0.4113,19.534126770857284,1.11,0.0026,0.8,0.4,1.0,109.6,2025-01
2025-01-30,2025-01-31,2025-02-06,CNP,BUY,32.880001068115234,32.75,32.439998626708984,-0.9465690787511928,-4.732845393755964,0.389,22.652434885993152,0.99,0.0028,0.8,0.4,1.0,132.1,2025-01
2025-01-30,2025-01-31,2025-02-06,AZO,BUY,3351.010009765625,3351.659912109375,3466.68994140625,3.432031659336242,17.16015829668121,0.3554,21.817792775424056,0.98,0.0021,0.8,0.8,0.5,355.7,2025-01
2025-01-30,2025-01-31,2025-02-06,AWK,SELL,123.66000366210938,123.66000366210938,123.9800033569336,-0.2587738034511071,-1.2938690172555356,0.3495,31.407839704159947,-0.4,-0.0028,0.0,0.4,1.0,140.6,2025-01
2025-01-31,2025-02-03,2025-02-07,CIEN,BUY,87.13999938964844,83.41000366210938,89.70999908447266,7.553045373171681,37.7652268658584,0.4978,23.716477880636806,0.44,0.0072,0.8,0.4,1.0,235.0,2025-01
2025-02-03,2025-02-04,2025-02-10,CEG,BUY,306.30999755859375,298.22698974609375,321.8299865722656,7.914440220942824,39.57220110471412,0.4791,25.898496482976586,0.7,0.0092,0.8,0.6,0.0,1795.0,2025-02
2025-02-03,2025-02-04,2025-02-10,BR,BUY,238.64999389648438,237.61000061035156,242.33999633789062,1.990655155670665,9.953275778353326,0.4629,19.798865641471945,1.1,0.003,0.8,0.8,1.0,113.3,2025-02
2025-02-04,2025-02-05,2025-02-11,CEG,BUY,306.3299865722656,310.5299987792969,313.5799865722656,0.9821878095379986,4.910939047689993,0.5004,24.140726618927033,0.65,0.0091,0.8,0.4,0.0,1783.1,2025-02
2025-02-04,2025-02-05,2025-02-11,CIEN,BUY,87.5,88.58000183105469,87.48999786376953,-1.2305305314444224,-6.152652657222111,0.4303,20.78886216362968,0.48,0.0078,0.8,0.4,0.5,237.1,2025-02
2025-02-05,2025-02-06,2025-02-12,BA,BUY,181.83999633789062,182.0,186.25,2.3351648351648353,11.675824175824175,0.5454,25.178725228200303,1.2,0.0036,0.8,0.8,1.0,1391.8,2025-02
2025-02-05,2025-02-06,2025-02-12,CEG,BUY,313.8299865722656,315.32501220703125,313.79998779296875,-0.4836357266391614,-2.418178633195807,0.5144,22.84498166689359,0.96,0.01,0.8,0.8,0.0,1784.9,2025-02
2025-02-05,2025-02-06,2025-02-12,CRM,BUY,347.92999267578125,337.4800109863281,326.1199951171875,-3.3661299926889114,-16.830649963444557,0.4661,20.18692400000155,0.87,0.0039,0.8,0.6,1.0,2114.6,2025-02
2025-02-05,2025-02-06,2025-02-12,BDX,BUY,192.6572265625,183.60848999023438,177.55503845214844,-3.2969344382756507,-16.48467219137825,0.4418,30.363846134524046,0.94,0.0023,0.8,0.4,0.5,509.3,2025-02
2025-02-05,2025-02-06,2025-02-12,CRH,BUY,101.16000366210938,102.66999816894531,104.22000122070312,1.5096942431101001,7.5484712155505,0.4079,21.923065841129702,1.67,0.0023,0.8,0.4,1.0,323.6,2025-02
2025-02-06,2025-02-07,2025-02-13,DIS,BUY,112.08999633789062,111.61000061035156,109.58999633789062,-1.8098774853636073,-9.049387426818036,0.3826,24.023953658542556,0.2,0.0024,0.8,0.8,0.0,997.1,2025-02
2025-02-06,2025-02-07,2025-02-13,CNP,BUY,32.439998626708984,32.380001068115234,33.43000030517578,3.2427399704272615,16.21369985213631,0.3355,20.323287719665206,0.26,0.002,0.8,0.8,0.0,132.1,2025-02
2025-02-06,2025-02-07,2025-02-13,BXP,SELL,72.38999938964844,72.68000030517578,71.26000213623047,1.9537674229263724,9.768837114631863,0.3059,18.353120260752263,-0.17,-0.0025,0.0,0.6,0.5,97.2,2025-02
2025-02-07,2025-02-10,2025-02-14,COP,SELL,98.36000061035156,99.61000061035156,96.26000213623047,3.3631146005363632,16.815573002681816,0.3623,23.029064227730405,-1.26,-0.0024,0.0,0.6,1.0,643.6,2025-02
2025-02-10,2025-02-11,2025-02-18,CNP,BUY,32.380001068115234,32.220001220703125,33.810001373291016,4.934823377865759,24.674116889328793,0.3719,18.515560537865863,0.14,0.0021,0.8,0.8,0.0,125.1,2025-02
2025-02-12,2025-02-13,2025-02-20,DVN,SELL,33.970001220703125,33.95000076293945,38.54999923706055,-13.549332461702182,-67.7466623085109,0.389,22.037532532470244,-0.65,-0.0034,0.0,0.6,1.0,306.1,2025-02
2025-02-13,2025-02-14,2025-02-21,ATO,BUY,147.97999572753906,148.24000549316406,149.89999389648438,1.119797856049635,5.598989280248175,0.4625,23.551049620697743,1.83,0.0021,0.8,0.8,1.0,133.3,2025-02
2025-02-14,2025-02-18,2025-02-24,CPAY,BUY,377.30999755859375,377.9200134277344,361.2300109863281,-4.416279066574943,-22.081395332874717,0.3565,27.03855495057017,0.46,0.0026,0.8,0.8,0.0,166.2,2025-02
2025-02-14,2025-02-18,2025-02-24,DOC,SELL,19.59000015258789,19.5,19.829999923706055,-1.692307301056691,-8.461536505283455,0.3524,21.94670827697984,-1.1,-0.003,0.0,0.4,1.0,109.9,2025-02
2025-02-18,2025-02-19,2025-02-25,DOV,BUY,205.36000061035156,204.08999633789062,198.36000061035156,-2.8075828459776653,-14.037914229888326,0.4653,36.30263427603163,1.05,0.0022,0.8,0.8,0.5,177.4,2025-02
2025-02-19,2025-02-20,2025-02-26,CAH,BUY,126.75,126.19000244140625,127.18000030517578,0.7845295543355082,3.922647771677541,0.3872,32.27565632466174,0.18,0.0027,0.8,0.4,0.0,319.0,2025-02
2025-02-19,2025-02-20,2025-02-26,DOV,BUY,204.8800048828125,204.85000610351562,197.67999267578125,-3.5001284911415604,-17.5006424557078,0.3841,36.75250746941372,0.89,0.0023,0.8,0.8,0.0,175.3,2025-02
2025-02-19,2025-02-20,2025-02-26,CHRW,SELL,99.0199966430664,99.0199966430664,98.18000030517578,0.8483098024316519,4.241549012158259,0.3124,30.14671762994781,-0.7,-0.002,0.0,0.0,1.0,130.7,2025-02
2025-02-20,2025-02-21,2025-02-27,CAH,BUY,127.37999725341797,126.91000366210938,127.47000122070312,0.4412556476514739,2.2062782382573696,0.3311,31.381033058712713,0.4,0.0027,0.8,0.4,0.0,321.6,2025-02
2025-02-25,2025-02-26,2025-03-04,DPZ,BUY,470.1400146484375,473.1400146484375,481.7699890136719,1.8239789698714874,9.119894849357436,0.3643,25.014458076443113,0.6,0.0021,0.6,0.4,1.0,295.9,2025-02
2025-02-26,2025-02-27,2025-03-05,DXCM,BUY,89.91000366210938,89.44000244140625,81.95999908447266,-8.363152004422046,-41.81576002211023,0.4487,19.395587969069876,0.8,0.005,0.4,0.4,1.0,305.7,2025-02
2025-02-26,2025-02-27,2025-03-05,DPZ,BUY,479.1099853515625,482.5299987792969,476.17999267578125,-1.3159816217809988,-6.579908108904994,0.358,23.746266662309818,1.08,0.003,0.4,0.4,1.0,305.9,2025-02
2025-02-26,2025-02-27,2025-03-05,BXP,SELL,69.98999786376953,70.33999633789062,67.68000030517578,3.7816266295168424,18.908133147584213,0.3375,18.640047814235476,-0.51,-0.0035,0.4,0.4,0.5,88.1,2025-02
2025-02-26,2025-02-27,2025-03-05,CNC,SELL,56.900001525878906,57.599998474121094,59.0,-2.430558269038684,-12.152791345193423,0.3034,21.05939826532364,-1.12,-0.003,0.4,0.4,0.5,295.9,2025-02
2025-02-27,2025-02-28,2025-03-06,AXON,SELL,525.4400024414062,526.969970703125,499.30999755859375,5.248870843176344,26.24435421588172,0.4678,24.7814371634484,-1.86,-0.0021,0.4,0.4,1.0,629.0,2025-02
2025-02-27,2025-02-28,2025-03-06,BXP,SELL,70.04000091552734,70.33999633789062,66.66999816894531,5.217512595985684,26.08756297992842,0.3109,17.872215270943244,-0.44,-0.0033,0.4,0.4,0.5,80.8,2025-02
2025-02-28,2025-03-03,2025-03-07,ADI,BUY,230.05999755859375,231.83999633789062,225.86000061035156,-2.5793632772593886,-12.896816386296944,0.4479,21.434156078349925,0.95,0.0021,0.4,0.4,1.0,979.7,2025-02
2025-02-28,2025-03-03,2025-03-07,ADSK,SELL,274.2099914550781,278.260009765625,259.75,6.652055313739029,33.26027656869515,0.4025,20.536819694786356,-2.28,-0.002,0.4,0.4,1.0,499.2,2025-02
